;;;Gene;;;Inter-;Cumulative;;Number;Sum Intron;Protein;;Closest Organism (excl. Ophios&Sporothrix);Closest Organism (excl. O.novo-ulmi only);KEGG;;Blast2GO;;;;;MEROPS;;Alter.;;
OphioH327gp0011;I;+;72.921;74.625;1.705;625;72.921;74.625;3;187;505;Hexose transporter;Colletotrichum orbiculare;Colletotrichum orbiculare;;;hexose transporter;3;"C:membrane; P:transport; F:transmembrane transporter activity";-;;;N;;;
OphioH327gp0012;I;+;76.905;79.722;2.818;2.279;76.905;79.722;2;367;816;Putative uncharacterized protein;Nectria haematococca;Ophiostoma piceae;;;bacterial alpha-l-rhamnosidase domain protein;5;"P:metabolic process; F:catalytic activity; F:ATP binding; C:integral to membrane; P:transmembrane transport";;GH78 ;;N;;;
OphioH327gp0013;I;-;80.724;81.497;774;1.001;80.724;81.497;0;0;257;Putative uncharacterized protein;Colletotrichum gloeosporioides;Sporothrix schenckii;;;aldehyde dehydrogenase;4;"P:oxidation-reduction process; F:oxidoreductase activity; F:oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor; P:metabolic process";;;;N;;;
OphioH327gp0014;I;+;82.522;82.930;409;1.024;82.522;82.930;1;70;112;Uncharacterized oxidoreductase;Myceliophthora thermophila;Ophiostoma piceae;;;short-chain dehydrogenase reductase sdr;4;"P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:nucleotide binding";;;;N;;;
OphioH327gp0015;I;+;83.705;84.516;812;774;83.705;84.516;2;233;192;Inorganic phosphate transport protein PHO88;Pestalotiopsis fici;Ophiostoma piceae;;;phosphate transporter;3;"P:phosphate ion transport; C:membrane; C:endoplasmic reticulum";-;;;N;;;
OphioH327gp0016;I;+;85.043;86.426;1.384;526;85.043;86.426;2;151;410;DNA repair protein RAD14;Grosmannia clavigera;Ophiostoma piceae;K10847;"XPA; DNA-repair protein complementing XP-A cells";dna repair protein rad14;2;"; F:organic cyclic compound binding";-;;;N;;;
OphioH327gp0017;I;+;87.351;89.985;2.635;924;87.351;89.985;1;58;858;Striatin Pro11;Fusarium oxysporum;Ophiostoma piceae;;;stalk rot protein;0;-;;;;N;;;
OphioH327gp0018;I;+;91.579;92.627;1.049;1.593;91.579;92.627;1;620;142;Histone H2A;Togninia minima;Sporothrix schenckii;K11251;"H2A; histone H2A";histone h2a;7;"P:chromatin modification; C:nucleosome; P:regulation of transcription, DNA-dependent; F:DNA binding; P:nucleosome assembly; F:protein heterodimerization activity; C:nucleus";-;;;N;;;
OphioH327gp0019;I;-;93.662;94.540;879;1.034;93.662;94.540;0;0;292;Alpha/beta-hydrolase;Togninia minima;Ophiostoma piceae;;;3-oxoadipate enol-lactonase;1;F:hydrolase activity;;;S33;N;;;
OphioH327gp0020;I;+;97.450;99.588;2.139;2.909;97.450;99.588;0;0;712;RNA-binding post-transcriptional regulator cip2 (Csx1-interacting protein 2);Grosmannia clavigera;Ophiostoma piceae;;;rna-binding post-transcriptional regulator cip2;2;"F:nucleic acid binding; F:nucleotide binding";;;;N;;;
OphioH327gp0021;I;-;101.431;105.315;3.885;1.842;101.431;105.315;0;0;1.294;RNA-dependent RNA polymerase;Grosmannia clavigera;Ophiostoma piceae;K11699;"RDR1, RDP1; RNA-dependent RNA polymerase 1 [EC:2.7.7.48]";rna-dependent rna polymerase;3;"F:RNA-directed RNA polymerase activity; F:nucleotide binding; F:nucleic acid binding";;;;N;;;
OphioH327gp0022;I;+;106.472;108.103;1.632;1.156;106.472;108.103;0;0;543;Alpha/beta-hydrolase;Chaetomium globosum;Ophiostoma piceae;;;alpha beta-hydrolase;2;"C:cellular_component; F:hydrolase activity";;;S33;N;;;
OphioH327gp0023;I;-;108.603;109.118;516;499;108.603;109.118;0;0;171;Putative uncharacterized protein;Nectria haematococca;Ophiostoma piceae;;;predicted protein;0;-;;;;N;;;
OphioH327gp0024;I;-;110.000;111.169;1.170;881;110.000;111.169;0;0;389;26S protease regulatory subunit 8 homolog (Protein CIM3/SUG1/TBY1);Gaeumannomyces graminis;Ophiostoma piceae;K03066;"PSMC5, RPT6; 26S proteasome regulatory subunit T6";26s protease regulatory subunit 8;7;"C:cytoplasm; F:peptidase activity; P:protein catabolic process; F:ATP binding; C:proteasome complex; F:nucleoside-triphosphatase activity; P:proteolysis";EC:3.6.1.15;;;N;;;
OphioH327gp0025;I;-;111.812;115.045;3.234;642;111.812;115.045;0;0;1.077;HMG-I/HMG-Y, DNA-binding protein;Grosmannia clavigera;Ophiostoma piceae;;;hmg-i hmg- dna-binding protein;1;F:DNA binding;;;;N;;;
OphioH327gp0026;I;+;118.698;119.525;828;3.652;118.698;119.525;3;351;158;Putative uncharacterized protein;Magnaporthe oryzae;Ophiostoma piceae;;;hypothetical protein MGG_06646;0;-;;;;N;;;
OphioH327gp0027;I;-;120.452;121.777;1.326;926;120.452;121.777;0;0;441;Endothiapepsin (Aspartate protease);Grosmannia clavigera;Ophiostoma piceae;;;aspartic proteinase;2;"F:aspartic-type endopeptidase activity; P:proteolysis";EC:3.4.23.0;;A01A;Y;;;
OphioH327gp0028;I;-;123.226;126.246;3.021;1.448;123.226;126.246;0;0;1.006;Heat shock protein 70 homolog;Togninia minima;Ophiostoma piceae;K09486;"HYOU1; hypoxia up-regulated 1";hsp70 family chaperone lhs1;1;F:nucleotide binding;-;;;Y;;;
OphioH327gp0029;I;+;127.181;128.815;1.635;934;127.181;128.815;0;0;544;Threonine synthase;Grosmannia clavigera;Ophiostoma piceae;K01733;"thrC; threonine synthase [EC:4.2.3.1]";threonine synthase;3;"P:threonine biosynthetic process; F:pyridoxal phosphate binding; F:threonine synthase activity";EC:4.2.3.1;;;N;;;
OphioH327gp0030;I;-;129.409;130.639;1.231;593;129.409;130.639;1;82;382;Putative uncharacterized protein;Metarhizium anisopliae;Ophiostoma piceae;;;serine threonine protein kinase;1;F:transferase activity, transferring phosphorus-containing groups;;;;N;;;
OphioH327gp0031;I;+;131.881;133.725;1.845;1.241;131.881;133.725;0;0;614;Histidine acid phosphatase;Grosmannia clavigera;Ophiostoma piceae;;;histidine acid phosphatase;1;F:acid phosphatase activity;;;;Y;;;
OphioH327gp0032;I;-;134.707;139.140;4.434;981;134.707;139.140;0;0;1.477;C2H2 zinc-finger domain-containing protein;Grosmannia clavigera;Ophiostoma piceae;;;c2h2 finger domain containing protein;3;"F:nucleic acid binding; F:zinc ion binding; C:intracellular";;;;N;;;
OphioH327gp0033;I;-;142.087;143.724;1.638;2.946;142.087;143.724;0;0;545;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_6511;3;"F:molecular_function; P:biological_process; C:cellular_component";;;;Y;;;
OphioH327gp0034;I;-;146.244;146.943;700;2.519;146.244;146.943;1;52;215;ER lumen protein retaining receptor;Grosmannia clavigera;Ophiostoma piceae;K10949;"KDELR; ER lumen protein retaining receptor";er lumen protein retaining receptor;5;"F:ER retention sequence binding; P:protein retention in ER lumen; C:integral to membrane; C:endoplasmic reticulum; P:protein transport";-;;;N;;;
OphioH327gp0035;I;+;147.697;148.980;1.284;753;147.697;148.980;0;0;427;Ubiquitin and WLM domain-containing protein;Neurospora tetrasperma;Ophiostoma piceae;;;ubiquitin metalloprotease fusion protein;3;"P:proteolysis; F:metallopeptidase activity; F:peptidase activity";;;;N;;;
OphioH327gp0036;I;-;149.335;150.383;1.049;354;149.335;150.383;1;62;328;Mannosylphosphorylation protein;Pestalotiopsis fici;Ophiostoma piceae;;;mannosylphosphate transferase;1;F:transferase activity;-;;;Y;;;
OphioH327gp0037;I;-;153.903;158.265;4.363;3.519;153.903;158.265;2;1.537;941;WD repeat protein;Grosmannia clavigera;Ophiostoma piceae;K14963;"WDR5, SWD3, CPS30; COMPASS component SWD3";wd repeat containing protein 5;3;"P:mycelium development; F:binding; P:transport";-;;;N;;;
OphioH327gp0038;I;-;159.385;160.776;1.392;1.119;159.385;160.776;0;0;463;Sterol carrier protein;Togninia minima;Ophiostoma piceae;K08764;"SCP2, SCPX; sterol carrier protein 2 [EC:2.3.1.176]";nonspecific lipid-transfer mitochondrial precursor;2;"F:3-oxoacyl-[acyl-carrier-protein] synthase activity; P:fatty acid biosynthetic process";EC:2.3.1.41;;;N;;;
OphioH327gp0039;I;-;161.735;164.838;3.104;958;161.735;164.838;1;155;982;Oleate activated transcription factor 3;Grosmannia clavigera;Ophiostoma piceae;;;c6 zinc finger domain containing protein;2;"P:transcription, DNA-dependent; F:binding";-;;;N;;;
OphioH327gp0040;I;+;172.896;174.641;1.746;8.057;172.896;174.641;0;0;581;Putative box C/D snoRNA protein SPCC613.07;Grosmannia clavigera;Ophiostoma piceae;;;aex-3- denn domain containing protein;0;-;;;;N;;;
OphioH327gp0041;I;+;176.545;178.038;1.494;1.903;176.545;178.038;0;0;497;Putative uncharacterized protein;Chaetomium globosum;Ophiostoma piceae;;;;0;-;;;;N;;;
OphioH327gp0041.1;I;+;178.979;180.964;1.986;940;178.979;180.964;3;429;518;putative G2/M phase checkpoint control protein;Claviceps purpurea;Ophiostoma piceae;;;g2 m phase checkpoint control protein;4;"P:vesicle-mediated transport; C:membrane; P:intracellular protein transport; C:intracellular";;;;N;;;
OphioH327gp0042;I;+;181.638;183.791;2.154;673;181.638;183.791;0;0;717;Nulp1-pending protein;Grosmannia clavigera;Ophiostoma piceae;;;nulp1-pending protein;0;-;;;;N;;;
OphioH327gp0043;I;+;185.058;185.389;332;1.266;185.058;185.389;1;74;85;Metal homeostasis factor atx1;Chaetomium globosum;Chaetomium globosum;;;heavy-metal-associated domain-containing protein;2;"F:metal ion binding; P:metal ion transport";;;;N;;;
OphioH327gp0044;I;+;186.720;189.294;2.575;1.330;186.720;189.294;2;142;810;Ankyrin repeat and protein kinase domain-containing protein 1;Colletotrichum fioriniae;Colletotrichum fioriniae;;;ankyrin repeat protein;0;-;;;;N;;;
OphioH327gp0045;I;+;190.040;190.747;708;745;190.040;190.747;0;0;235;Putative uncharacterized protein;Magnaporthe oryzae;Ophiostoma piceae;;;hypothetical protein MGG_10716;3;"F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp0046;I;-;191.658;198.043;2.865;910;191.658;194.522;0;0;954;C-myc promoter-binding protein (DENN domain-containing protein 4A);Scedosporium apiospermum;Ophiostoma piceae;;;denn domain-containing protein;0;-;;;;N;;;
OphioH327gp0047;I;-;201.258;207.047;5.790;3.214;201.258;207.047;2;252;1.845;Kinesin-like protein KIF21B (Kinesin-like protein KIF6);Grosmannia clavigera;Ophiostoma piceae;K10395;"KIF4S; kinesin family member 4/7/21/27";chromosome-associated kinesin kif4b;8;"F:microtubule motor activity; P:two-component signal transduction system (phosphorelay); C:microtubule; P:signal transduction by phosphorylation; F:ATP binding; P:microtubule-based movement; F:two-component sensor activity; C:membrane";-;;;N;;;
OphioH327gp0048;I;-;216.138;216.689;2.724;9.090;213.966;216.689;3;219;834;Putative uncharacterized protein;Colletotrichum fioriniae;Colletotrichum fioriniae;K16726;"ANKRD17, MASK; ankyrin repeat domain-containing protein 17";hypothetical protein AOL_s00081g123;0;-;;;;Y;;;
OphioH327gp0049;I;+;218.009;220.909;2.901;1.319;218.009;220.909;0;0;966;Crossover junction endonuclease eme1 (Essential meiotic endonuclease 1);Grosmannia clavigera;Ophiostoma piceae;K10882;"EME1, MMS4; crossover junction endonuclease EME1 [EC:3.1.22.-]";ercc4 domain-containing protein;6;"P:DNA metabolic process; F:transferase activity; P:nucleic acid phosphodiester bond hydrolysis; F:nuclease activity; F:transferase activity, transferring glycosyl groups; F:DNA binding";;;;N;;;
OphioH327gp0050;I;-;221.365;228.558;7.194;455;221.365;228.558;0;0;2.397;E3 ubiquitin-protein ligase ubr1 (N-end-recognizing protein);Grosmannia clavigera;Ophiostoma piceae;K10625;"UBR1; E3 ubiquitin-protein ligase UBR1 [EC:6.3.2.19]";e3 ubiquitin-protein ligase ubr1;7;"P:cellular metabolic process; F:ligase activity; F:hydrolase activity; F:metal ion binding; F:ion transmembrane transporter activity; P:ion transport; P:protein metabolic process";-;;;N;;;
OphioH327gp0051;I;-;229.977;230.581;271;1.418;229.977;230.247;2;118;50;Cytochrome b-c1 complex subunit 9 (Complex III subunit 9);Myceliophthora thermophila;Sporothrix schenckii;;;ubiquinol-cytochrome c reductase subunit;3;"F:ubiquinol-cytochrome-c reductase activity; C:mitochondrial envelope; P:mitochondrial electron transport, ubiquinol to cytochrome c";EC:1.10.2.2;;;N;;;
OphioH327gp0052;I;+;231.150;231.824;675;568;231.150;231.824;0;0;224;Partner of Y14 and mago (Protein wibg homolog);Colletotrichum sublineola;Ophiostoma piceae;;;hypothetical protein NEUTE1DRAFT_126059;0;-;;;;N;;;
OphioH327gp0053;I;-;232.377;233.682;1.306;552;232.377;233.682;2;136;389;Uridine nucleosidase;Grosmannia clavigera;Ophiostoma piceae;K01240;"URH1; uridine nucleosidase [EC:3.2.2.3]";uridine nucleosidase;3;"F:hydrolase activity; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp0054;I;-;234.433;236.385;1.953;750;234.433;236.385;0;0;650;Red-like protein;Grosmannia clavigera;Ophiostoma piceae;;;red-like protein;1;C:nucleus;;;;N;;;
OphioH327gp0055;I;+;236.782;240.801;4.020;396;236.782;240.801;0;0;1.339;DNA repair protein REV1;Thielavia terrestris;Ophiostoma piceae;K03515;"REV1; DNA repair protein REV1 [EC:2.7.7.-]";dna damage repair protein;5;"F:nucleotidyltransferase activity; P:DNA repair; F:DNA-directed DNA polymerase activity; F:damaged DNA binding; F:magnesium ion binding";;;;N;;;
OphioH327gp0056;I;-;240.988;241.608;621;186;240.988;241.608;1;60;186;WSC domain-containing protein 2;Grosmannia clavigera;Ophiostoma piceae;;;glyoxal oxidase precursor;0;-;;;;Y;;;
OphioH327gp0057;I;-;242.322;244.859;2.538;713;242.322;244.859;0;0;845;Mitochondrial intermediate peptidase (MIP);Grosmannia clavigera;Ophiostoma piceae;K01410;"E3.4.24.59, MIPEP; mitochondrial intermediate peptidase [EC:3.4.24.59]";mitochondrial intermediate peptidase;1;F:metallopeptidase activity;-;;M03A;N;;;
OphioH327gp0058;I;+;245.437;246.411;975;577;245.437;246.411;2;183;263;Mitochondrial organizing structure protein 2 (MitOS2);Grosmannia clavigera;Ophiostoma piceae;;;mitochondrial protein;0;-;;;;Y;Y;;
OphioH327gp0059;I;-;246.669;247.752;1.084;257;246.669;247.752;1;73;336;Mitochondrial thiamine pyrophosphate carrier 1;Grosmannia clavigera;Ophiostoma piceae;K15108;"SLC25A19, DNC, TPC1; solute carrier family 25 (mitochondrial thiamine pyrophosphate transporter), member 19";mitochondrial deoxynucleotide carrier;3;"C:integral to membrane; C:mitochondrion; P:transmembrane transport";-;;;N;;;
OphioH327gp0060;I;-;249.343;250.023;681;1.590;249.343;250.023;0;0;226;Putative uncharacterized protein; ;;;;---NA---;0;-;;;;N;;;
OphioH327gp0061;I;-;255.461;256.129;669;5.437;255.461;256.129;0;0;222;Putative uncharacterized protein; ;;;;---NA---;0;-;;;;N;;;
OphioH327gp0062;I;-;257.694;267.511;3.021;1.564;257.694;260.714;1;54;988;Sam and ph domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;sam and ph domain containing protein;4;"F:phospholipid binding; F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp0063;I;+;276.882;279.383;2.502;9.370;276.882;279.383;0;0;833;Transcriptional regulatory protein pro-1;Grosmannia clavigera;Ophiostoma piceae;K09243;"UME6; transcriptional regulatory protein UME6";transcriptional regulatory protein pro-1;2;"P:transcription from RNA polymerase II promoter; P:regulation of transcription, DNA-dependent";-;;;N;;;
OphioH327gp0064;I;+;283.961;284.735;775;4.577;283.961;284.735;1;79;231;Aryl-alcohol dehydrogenase;Fusarium graminearum;Sporothrix schenckii;;;alcohol dehydrogenase;3;"F:organic cyclic compound binding; ; P:transcription, DNA-dependent";-;;;N;;;
OphioH327gp0065;I;-;285.038;285.853;816;302;285.038;285.853;0;0;271;Putative uncharacterized protein; ;;;;---NA---;0;-;;;;N;;;
OphioH327gp0066;I;-;287.210;288.399;1.190;1.356;287.210;288.399;1;194;331;Superoxide dismutase;Grosmannia clavigera;Ophiostoma piceae;K04564;"SOD2; superoxide dismutase, Fe-Mn family [EC:1.15.1.1]";superoxide dismutase;1;P:metabolic process;-;;;N;;;
OphioH327gp0067;I;-;288.996;290.228;1.233;596;288.996;290.228;0;0;410;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;hypothetical protein CMQ_394;0;-;;;;N;;;
OphioH327gp0068;I;+;295.615;298.107;2.493;5.386;295.615;298.107;0;0;830;Putative uncharacterized protein;Nectria haematococca;Ophiostoma piceae;;;hypothetical protein NECHADRAFT_79722;0;-;;;;N;;;
OphioH327gp0069;I;-;306.878;313.741;6.864;8.770;306.878;313.741;1;6.669;64;Putative uncharacterized protein; ;;;;---NA---;0;-;;;;N;;;
OphioH327gp0070;I;+;323.493;328.277;2.232;9.751;326.046;328.277;1;429;600;C2H2 transcription factor;Grosmannia clavigera;Ophiostoma piceae;;;cutinase g-box binding protein;3;"F:nucleic acid binding; F:zinc ion binding; C:intracellular";;;;N;;;
OphioH327gp0071;I;-;332.251;334.140;1.890;3.973;332.251;334.140;0;0;629;Lipase 2 (Lipase II);Chaetomium thermophilum;Ophiostoma piceae;;;triacylglycerol lipase (secreted protein);1;F:hydrolase activity;;;S09X;N;;;
OphioH327gp0072;I;+;336.963;338.675;1.713;2.822;336.963;338.675;0;0;570;Putative uncharacterized protein;Gaeumannomyces graminis;Ophiostoma piceae;;;hypothetical protein GGTG_01420;0;-;;;;Y;;;
OphioH327gp0073;I;-;339.298;340.136;839;622;339.298;340.136;1;143;231;Secretory component protein SHR3;Grosmannia clavigera;Ophiostoma piceae;;;secretory component protein;0;-;;;;N;;;
OphioH327gp0074;I;-;341.273;344.770;3.498;1.136;341.273;344.770;0;0;1.165;Putative uncharacterized protein;Gaeumannomyces graminis;Ophiostoma piceae;;;hypothetical protein GGTG_01422;3;"F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp0075;I;-;348.424;350.706;2.283;3.653;348.424;350.706;0;0;760;DNA polymerase alpha-associated DNA helicase A;Beauveria bassiana;Ophiostoma piceae;;;dna helicase;2;"F:nucleoside-triphosphatase activity; F:nucleotide binding";EC:3.6.1.15;;;N;;;
OphioH327gp0076;I;-;351.115;352.482;1.368;408;351.115;352.482;0;0;455;Putative uncharacterized protein;Fusarium graminearum;Ophiostoma piceae;;;hypothetical protein FG06868.1;0;-;;;;N;;;
OphioH327gp0077;I;-;353.489;358.132;4.644;1.006;353.489;358.132;0;0;1.547;Vacuolar protein sorting/targeting protein 10 (Carboxypeptidase Y receptor);Grosmannia clavigera;Ophiostoma piceae;;;vacuolar protein sorting targeting protein pep1;4;"P:protein transport; C:integral to membrane; C:cytoplasmic part; C:intracellular membrane-bounded organelle";-;;;Y;;;
OphioH327gp0078;I;-;360.151;361.563;1.413;2.018;360.151;361.563;0;0;470;Sun domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;septation protein sun4;1;P:mycelium development;-;;;Y;;;
OphioH327gp0079;I;-;366.149;368.611;2.463;4.585;366.149;368.611;0;0;820;Transcriptional regulator CRZ1;Grosmannia clavigera;Ophiostoma piceae;;;c2h2 type zinc finger domain containing protein;3;"F:nucleic acid binding; F:zinc ion binding; C:intracellular";;;;N;;;
OphioH327gp0080;I;+;372.723;373.937;1.215;4.111;372.723;373.937;0;0;404;Diacylglycerol acyltransferase;Grosmannia clavigera;Ophiostoma piceae;K14457;"MOGAT2, MGAT2; 2-acylglycerol O-acyltransferase 2 [EC:2.3.1.22]";diacylglycerol acyltransferase;1;F:transferase activity, transferring acyl groups other than amino-acyl groups;EC:2.3.1.0;;;N;;;
OphioH327gp0081;I;-;374.112;376.460;2.349;174;374.112;376.460;0;0;782;ATP-binding l-psp endoribonuclease family protein;Grosmannia clavigera;Ophiostoma piceae;K06927;"Unclassified; Poorly Characterized";meiotically up-regulated 71 protein;2;"F:ATP binding; F:hydrolase activity";;;;N;;;
OphioH327gp0082;I;+;378.625;379.791;1.167;2.164;378.625;379.791;0;0;388;DUF833 domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;ser thr-rich protein t10 in dgcr region;0;-;;;;N;;;
OphioH327gp0083;I;-;380.276;381.802;1.527;484;380.276;381.802;0;0;508;Putative uncharacterized protein; ;;;;---NA---;0;-;;;;N;;;
OphioH327gp0084;I;-;383.824;385.515;1.692;2.021;383.824;385.515;0;0;563;Tfiih and nucleotide excision repair factor 3 complexes subunit;Grosmannia clavigera;Ophiostoma piceae;K03144;"TFIIH4, GTF2H4, TFB2; transcription initiation factor TFIIH subunit 4";tfiih and nucleotide excision repair factor 3 complexes subunit;3;"C:nucleus; P:regulation of transcription, DNA-dependent; P:DNA repair";-;;;N;;;
OphioH327gp0085;I;+;386.197;387.122;926;681;386.197;387.122;6;422;167;Putative esterase C31F10.02;Pestalotiopsis fici;Ophiostoma piceae;;;thioesterase superfamily protein;0;-;;;;N;;;
OphioH327gp0086;I;-;387.289;390.599;3.311;166;387.289;390.599;3;182;1.042;Fungal specific transcription factor domain containing protein;Grosmannia clavigera;Ophiostoma piceae;;;fungal specific transcription factor domain-containing protein;4;"F:metal ion binding; P:regulation of transcription, DNA-dependent; C:intracellular part; P:transcription from RNA polymerase II promoter";-;;;N;;;
OphioH327gp0087;I;+;393.940;398.620;4.681;3.340;393.940;398.620;2;2.281;799;6-hydroxynicotinate 3-monooxygenase;Botrytis cinerea;Ophiostoma piceae;;;fad binding domain-containing protein;2;"P:oxidation-reduction process; F:oxidoreductase activity";-;;;N;;;
OphioH327gp0088;I;-;399.109;400.635;1.527;488;399.109;400.635;0;0;508;Uncharacterized transporter C1529.01;Glarea lozoyensis;Ophiostoma piceae;;;mfs multidrug transporter;2;"C:integral to membrane; P:transmembrane transport";;;;N;;;
OphioH327gp0089;I;+;406.066;410.001;3.936;5.430;406.066;410.001;0;0;1.311;Similar to transcription factor Cys6;Exophiala aquamarina;Ophiostoma piceae;;;nucleus protein;9;"P:transcription from RNA polymerase II promoter; F:DNA binding; C:nucleus; F:zinc ion binding; P:regulation of transcription from RNA polymerase II promoter; F:sequence-specific DNA binding RNA polymerase II transcription factor activity; P:regulation of transcription, DNA-dependent; F:metal ion binding; P:transcription, DNA-dependent";;;;N;;;
OphioH327gp0090;I;-;410.100;412.511;2.412;98;410.100;412.511;0;0;803;Putative uncharacterized protein;Grosmannia clavigera;Ophiostoma piceae;;;bactericidal permeability-increasing protein;4;"F:lipid binding; F:molecular_function; P:biological_process; C:cellular_component";;;;N;;;
OphioH327gp0091;I;+;413.695;414.498;804;1.183;413.695;414.498;0;0;267;3-oxoacyl-acyl-carrier-protein reductase;Coniosporium apollinis;Ophiostoma piceae;K11539;"CBR4; carbonyl reductase 4 [EC:1.1.1.-]";3-alpha-(or 20-beta)-hydroxysteroid dehydrogenase;4;"P:oxidation-reduction process; F:oxidoreductase activity; P:metabolic process; F:nucleotide binding";;;;N;;;
