Gene_ID	Chromosome	Start	End
gene_4075	OphioH327chr_3	1411220	1413524
gene_4088	OphioH327chr_3	1481335	1483025
gene_4099	OphioH327chr_3	1512124	1512412
gene_4116	OphioH327chr_3	1558437	1559695
gene_4149	OphioH327chr_3	1687278	1688232
gene_4150	OphioH327chr_3	1689136	1692012
gene_4503	OphioH327chr_3	2965298	2966691
gene_4567	OphioH327chr_3	3178208	3180068
gene_4619	OphioH327chr_3	3380188	3381646
gene_4620	OphioH327chr_3	3383596	3385430
gene_4682	OphioH327chr_3	3646982	3648286
gene_4691	OphioH327chr_4	42719	42931
gene_4941	OphioH327chr_4	897417	899396
gene_4991	OphioH327chr_4	1055946	1057099
gene_5013	OphioH327chr_4	1125699	1127350
gene_5027	OphioH327chr_4	1185204	1186781
gene_5096	OphioH327chr_4	1429684	1430300
gene_5107	OphioH327chr_4	1485919	1489486
gene_5124	OphioH327chr_4	1527125	1528072
gene_5248	OphioH327chr_4	1988308	1988618
gene_5287	OphioH327chr_4	2158005	2159356
gene_5476	OphioH327chr_4	2805405	2806434
gene_5510	OphioH327chr_4	2906164	2906724
gene_5617	OphioH327chr_4	3273372	3274547
gene_5661	OphioH327chr_5	23960	25345
gene_5850	OphioH327chr_5	733397	733801
gene_5980	OphioH327chr_5	1164316	1166821
gene_5990	OphioH327chr_5	1205111	1205722
gene_6031	OphioH327chr_5	1372544	1372888
gene_6132	OphioH327chr_5	1754111	1755230
gene_6265	OphioH327chr_5	2198285	2199094
gene_6345	OphioH327chr_5	2493556	2493987
gene_6406	OphioH327chr_5	2663435	2665204
gene_6431	OphioH327chr_5	2729936	2731201
gene_6465	OphioH327chr_6	33483	34702
gene_6529	OphioH327chr_6	260536	261961
gene_6530	OphioH327chr_6	262345	263634
gene_6615	OphioH327chr_6	544964	545799
gene_6774	OphioH327chr_6	1105477	1107455
gene_6790	OphioH327chr_6	1172170	1173529
gene_6863	OphioH327chr_6	1447216	1447449
gene_6892	OphioH327chr_6	1566854	1568518
gene_6972	OphioH327chr_6	1889052	1890467
gene_6998	OphioH327chr_6	1999836	2004443
gene_7009	OphioH327chr_6	2059623	2060834
gene_7010	OphioH327chr_6	2061355	2063232
gene_7012	OphioH327chr_6	2066445	2068070
gene_7040	OphioH327chr_6	2153871	2155257
gene_7195	OphioH327chr_6	2700950	2702839
gene_7218	OphioH327chr_7	37102	38633
gene_7219	OphioH327chr_7	39235	40708
gene_7352	OphioH327chr_7	470895	471938
gene_7420	OphioH327chr_7	733599	734622
gene_7465	OphioH327chr_7	882719	883597
gene_7629	OphioH327chr_7	1573121	1574032
gene_7707	OphioH327chr_7	1815705	1817322
gene_7887	OphioH327chr_7	2466555	2469308
gene_7976	OphioH327chr_8	54763	56376
gene_8008	OphioH327chr_8	143434	144138
gene_8084	OphioH327chr_8	402739	403839
gene_8275	OphioH327chr_8	1232470	1234947
gene_8471	OphioH327chr_8	1969843	1970860
gene_8496	OphioH327chr_8	2068633	2069141
gene_8547	OphioH327chr_8	2233417	2234149
gene_8585	OphioH327chr_8	2360460	2362223
gene_8587	OphioH327chr_8	2364024	2365337
gene_8589	OphioH327chr_8	2370369	2371893
gene_8590	OphioH327chr_8	2372387	2373427
gene_8591	OphioH327chr_8	2373761	2374237
gene_8593	OphioH327chr_8	2377401	2378453
gene_8611	OphioH327chr_8	2434005	2435261
gene_8628	OphioH327chr_8	2472415	2473671
