"protein_ID";"gene_ID";"gene_ID_gff3";"protein_ID_gff3";"Protein";"Chr";"Strand";"Start";"End";"Size (nt)";"Final Description"
"28";1978588;"g0026";"gene_28";1978588;"g0026";"I";"+";"118.698";"119.525";"828";"Putative uncharacterized protein"
"29";1978589;"g0027";"gene_29";1978589;"g0027";"I";"-";"120.452";"121.777";"1.326";"Endothiapepsin (Aspartate protease)"
"30";1978590;"g0028";"gene_30";1978590;"g0028";"I";"-";"123.226";"126.246";"3.021";"Heat shock protein 70 homolog"
"31";1978591;"g0029";"gene_31";1978591;"g0029";"I";"+";"127.181";"128.815";"1.635";"Threonine synthase"
"32";1978592;"g0030";"gene_32";1978592;"g0030";"I";"-";"129.409";"130.639";"1.231";"Putative uncharacterized protein"
"33";1978593;"g0031";"gene_33";1978593;"g0031";"I";"+";"131.881";"133.725";"1.845";"Histidine acid phosphatase"
"34";1978594;"g0032";"gene_34";1978594;"g0032";"I";"-";"134.707";"139.140";"4.434";"C2H2 zinc-finger domain-containing protein"
"35";1978595;"g0033";"gene_35";1978595;"g0033";"I";"-";"142.087";"143.724";"1.638";"Putative uncharacterized protein"
"36";1978596;"g0034";"gene_36";1978596;"g0034";"I";"-";"146.244";"146.943";"700";"ER lumen protein retaining receptor"
"37";1978597;"g0035";"gene_37";1978597;"g0035";"I";"+";"147.697";"148.980";"1.284";"Ubiquitin and WLM domain-containing protein"
"38";1978598;"g0036";"gene_38";1978598;"g0036";"I";"-";"149.335";"150.383";"1.049";"Mannosylphosphorylation protein"
"39";1978599;"g0037";"gene_39";1978599;"g0037";"I";"-";"153.903";"158.265";"4.363";"WD repeat protein"
"40";1978600;"g0038";"gene_40";1978600;"g0038";"I";"-";"159.385";"160.776";"1.392";"Sterol carrier protein"
"41";1978601;"g0039";"gene_41";1978601;"g0039";"I";"-";"161.735";"164.838";"3.104";"Oleate activated transcription factor 3"
"42";1978602;"g0040";"gene_42";1978602;"g0040";"I";"+";"172.896";"174.641";"1.746";"Putative box C/D snoRNA protein SPCC613.07"
"43";1978603;"g0041";"gene_43";1978603;"g0041";"I";"+";"176.545";"178.038";"1.494";"Putative uncharacterized protein"
"44";1978604;"g0041.1";"gene_44";1978604;"g0041.1";"I";"+";"178.979";"180.964";"1.986";"putative G2/M phase checkpoint control protein"
"45";1978605;"g0042";"gene_45";1978605;"g0042";"I";"+";"181.638";"183.791";"2.154";"Nulp1-pending protein"
"46";1978606;"g0043";"gene_46";1978606;"g0043";"I";"+";"185.058";"185.389";"332";"Metal homeostasis factor atx1"
"47";1978607;"g0044";"gene_47";1978607;"g0044";"I";"+";"186.720";"189.294";"2.575";"Ankyrin repeat and protein kinase domain-containing protein 1"
"48";1978608;"g0045";"gene_48";1978608;"g0045";"I";"+";"190.040";"190.747";"708";"Putative uncharacterized protein"
"49";1978609;"g0046";"gene_49";1978609;"g0046";"I";"-";"191.658";"198.043";"2.865";"C-myc promoter-binding protein (DENN domain-containing protein 4A)"
"50";1978610;"g0047";"gene_50";1978610;"g0047";"I";"-";"201.258";"207.047";"5.790";"Kinesin-like protein KIF21B (Kinesin-like protein KIF6)"
"51";1978611;"g0048";"gene_51";1978611;"g0048";"I";"-";"216.138";"216.689";"2.724";"Putative uncharacterized protein"
"52";1978612;"g0049";"gene_52";1978612;"g0049";"I";"+";"218.009";"220.909";"2.901";"Crossover junction endonuclease eme1 (Essential meiotic endonuclease 1)"
"53";1978613;"g0050";"gene_53";1978613;"g0050";"I";"-";"221.365";"228.558";"7.194";"E3 ubiquitin-protein ligase ubr1 (N-end-recognizing protein)"
"54";1978614;"g0051";"gene_54";1978614;"g0051";"I";"-";"229.977";"230.581";"271";"Cytochrome b-c1 complex subunit 9 (Complex III subunit 9)"
"55";1978615;"g0052";"gene_55";1978615;"g0052";"I";"+";"231.150";"231.824";"675";"Partner of Y14 and mago (Protein wibg homolog)"
"56";1978616;"g0053";"gene_56";1978616;"g0053";"I";"-";"232.377";"233.682";"1.306";"Uridine nucleosidase"
"57";1978617;"g0054";"gene_57";1978617;"g0054";"I";"-";"234.433";"236.385";"1.953";"Red-like protein"
"58";1978618;"g0055";"gene_58";1978618;"g0055";"I";"+";"236.782";"240.801";"4.020";"DNA repair protein REV1"
"59";1978619;"g0056";"gene_59";1978619;"g0056";"I";"-";"240.988";"241.608";"621";"WSC domain-containing protein 2"
"60";1978620;"g0057";"gene_60";1978620;"g0057";"I";"-";"242.322";"244.859";"2.538";"Mitochondrial intermediate peptidase (MIP)"
"61";1978621;"g0058";"gene_61";1978621;"g0058";"I";"+";"245.437";"246.411";"975";"Mitochondrial organizing structure protein 2 (MitOS2)"
"62";1978622;"g0059";"gene_62";1978622;"g0059";"I";"-";"246.669";"247.752";"1.084";"Mitochondrial thiamine pyrophosphate carrier 1"
"63";1978623;"g0060";"gene_63";1978623;"g0060";"I";"-";"249.343";"250.023";"681";"Putative uncharacterized protein"
"64";1978624;"g0061";"gene_64";1978624;"g0061";"I";"-";"255.461";"256.129";"669";"Putative uncharacterized protein"
"65";1978625;"g0062";"gene_65";1978625;"g0062";"I";"-";"257.694";"267.511";"3.021";"Sam and ph domain containing protein"
"66";1978626;"g0063";"gene_66";1978626;"g0063";"I";"+";"276.882";"279.383";"2.502";"Transcriptional regulatory protein pro-1"
"67";1978627;"g0064";"gene_67";1978627;"g0064";"I";"+";"283.961";"284.735";"775";"Aryl-alcohol dehydrogenase"
"68";1978628;"g0065";"gene_68";1978628;"g0065";"I";"-";"285.038";"285.853";"816";"Putative uncharacterized protein"
"69";1978629;"g0066";"gene_69";1978629;"g0066";"I";"-";"287.210";"288.399";"1.190";"Superoxide dismutase"
"70";1978630;"g0067";"gene_70";1978630;"g0067";"I";"-";"288.996";"290.228";"1.233";"Putative uncharacterized protein"
"71";1978631;"g0068";"gene_71";1978631;"g0068";"I";"+";"295.615";"298.107";"2.493";"Putative uncharacterized protein"
"72";1978632;"g0069";"gene_72";1978632;"g0069";"I";"-";"306.878";"313.741";"6.864";"Putative uncharacterized protein"
"73";1978633;"g0070";"gene_73";1978633;"g0070";"I";"+";"323.493";"328.277";"2.232";"C2H2 transcription factor"
"74";1978634;"g0071";"gene_74";1978634;"g0071";"I";"-";"332.251";"334.140";"1.890";"Lipase 2 (Lipase II)"
"75";1978635;"g0072";"gene_75";1978635;"g0072";"I";"+";"336.963";"338.675";"1.713";"Putative uncharacterized protein"
"76";1978636;"g0073";"gene_76";1978636;"g0073";"I";"-";"339.298";"340.136";"839";"Secretory component protein SHR3"
"77";1978637;"g0074";"gene_77";1978637;"g0074";"I";"-";"341.273";"344.770";"3.498";"Putative uncharacterized protein"
"78";1978638;"g0075";"gene_78";1978638;"g0075";"I";"-";"348.424";"350.706";"2.283";"DNA polymerase alpha-associated DNA helicase A"
"79";1978639;"g0076";"gene_79";1978639;"g0076";"I";"-";"351.115";"352.482";"1.368";"Putative uncharacterized protein"
"80";1978640;"g0077";"gene_80";1978640;"g0077";"I";"-";"353.489";"358.132";"4.644";"Vacuolar protein sorting/targeting protein 10 (Carboxypeptidase Y receptor)"
"81";1978641;"g0078";"gene_81";1978641;"g0078";"I";"-";"360.151";"361.563";"1.413";"Sun domain containing protein"
"82";1978642;"g0079";"gene_82";1978642;"g0079";"I";"-";"366.149";"368.611";"2.463";"Transcriptional regulator CRZ1"
"83";1978643;"g0080";"gene_83";1978643;"g0080";"I";"+";"372.723";"373.937";"1.215";"Diacylglycerol acyltransferase"
"84";1978644;"g0081";"gene_84";1978644;"g0081";"I";"-";"374.112";"376.460";"2.349";"ATP-binding l-psp endoribonuclease family protein"
"85";1978645;"g0082";"gene_85";1978645;"g0082";"I";"+";"378.625";"379.791";"1.167";"DUF833 domain containing protein"
"86";1978646;"g0083";"gene_86";1978646;"g0083";"I";"-";"380.276";"381.802";"1.527";"Putative uncharacterized protein"
"87";1978647;"g0084";"gene_87";1978647;"g0084";"I";"-";"383.824";"385.515";"1.692";"Tfiih and nucleotide excision repair factor 3 complexes subunit"
"88";1978648;"g0085";"gene_88";1978648;"g0085";"I";"+";"386.197";"387.122";"926";"Putative esterase C31F10.02"
"89";1978649;"g0086";"gene_89";1978649;"g0086";"I";"-";"387.289";"390.599";"3.311";"Fungal specific transcription factor domain containing protein"
"90";1978650;"g0087";"gene_90";1978650;"g0087";"I";"+";"393.940";"398.620";"4.681";"6-hydroxynicotinate 3-monooxygenase"
"91";1978651;"g0088";"gene_91";1978651;"g0088";"I";"-";"399.109";"400.635";"1.527";"Uncharacterized transporter C1529.01"
"92";1978652;"g0089";"gene_92";1978652;"g0089";"I";"+";"406.066";"410.001";"3.936";"Similar to transcription factor Cys6"
"93";1978653;"g0090";"gene_93";1978653;"g0090";"I";"-";"410.100";"412.511";"2.412";"Putative uncharacterized protein"
"94";1978654;"g0091";"gene_94";1978654;"g0091";"I";"+";"413.695";"414.498";"804";"3-oxoacyl-acyl-carrier-protein reductase"
"95";1978655;"g0092";"gene_95";1978655;"g0092";"I";"+";"415.633";"417.631";"1.999";"Inner membrane protein yohK"
"96";1978656;"g0093";"gene_96";1978656;"g0093";"I";"+";"418.212";"418.607";"396";"Putative uncharacterized protein"
"97";1978657;"g0094";"gene_97";1978657;"g0094";"I";"+";"421.640";"422.057";"418";"Putative uncharacterized protein"
"98";1978658;"g0095";"gene_98";1978658;"g0095";"I";"+";"422.809";"424.386";"1.578";"tRNA methyltransferase subunit"
"99";1978659;"g0096";"gene_99";1978659;"g0096";"I";"-";"424.588";"425.814";"1.227";"Putative uncharacterized protein"
"100";1978660;"g0097";"gene_100";1978660;"g0097";"I";"-";"426.634";"428.009";"1.376";"Septum-promoting GTP-binding protein 1 (Sid3 protein)"
"101";1978661;"g0098";"gene_101";1978661;"g0098";"I";"+";"430.839";"434.480";"3.642";"Serine/threonine-protein kinase ppk30"
"102";1978662;"g0099";"gene_102";1978662;"g0099";"I";"+";"440.173";"444.014";"3.842";"H/K ATPase alpha subunit"
"103";1978663;"g0100";"gene_103";1978663;"g0100";"I";"+";"444.919";"445.225";"307";"Putative uncharacterized protein"
"104";1978664;"g0101";"gene_104";1978664;"g0101";"I";"-";"446.023";"446.755";"733";"Putative uncharacterized protein"
"105";1978665;"g0102";"gene_105";1978665;"g0102";"I";"-";"448.479";"450.184";"1.706";"Amino-acid permease"
"106";1978666;"g0103";"gene_106";1978666;"g0103";"I";"-";"455.068";"458.568";"3.501";"Putative uncharacterized protein"
"107";1978667;"g0104";"gene_107";1978667;"g0104";"I";"+";"465.039";"465.485";"447";"Hypersensitive response-inducing protein"
"108";1978668;"g0105";"gene_108";1978668;"g0105";"I";"-";"466.190";"469.798";"3.609";"Heat repeat protein"
"109";1978669;"g0106";"gene_109";1978669;"g0106";"I";"+";"470.145";"471.158";"1.014";"DUF1749 domain containing protein"
"110";1978670;"g0107";"gene_110";1978670;"g0107";"I";"-";"471.200";"472.161";"962";"Sterol isomerase"
"111";1978671;"g0108";"gene_111";1978671;"g0108";"I";"-";"472.762";"474.627";"1.866";"Putative C6 transcription factor"
"112";1978672;"g0108.1";"gene_112";1978672;"g0108.1";"I";"-";"476.946";"477.924";"979";"Pre-mRNA-splicing factor cwc15"
"113";1978673;"g0109";"gene_113";1978673;"g0109";"I";"+";"478.222";"479.166";"945";"Exosome complex component rrp45 (Ribosomal RNA-processing protein 45)"
"114";1978674;"g0110";"gene_114";1978674;"g0110";"I";"-";"479.462";"480.273";"812";"ADP-ribosylation factor-like protein 3 (Arf-like GTPase 3)"
"115";1978675;"g0111";"gene_115";1978675;"g0111";"I";"+";"482.735";"483.151";"417";"Putative uncharacterized protein"
"116";1978676;"g0112";"gene_116";1978676;"g0112";"I";"+";"484.152";"484.487";"336";"Cell wall biogenesis protein"
"117";1978677;"g0113";"gene_117";1978677;"g0113";"I";"-";"484.645";"486.042";"1.398";"DUF1682 domain containing protein"
"118";1978678;"g0114";"gene_118";1978678;"g0114";"I";"+";"487.438";"488.100";"663";"Protein transport protein sec22"
"119";1978679;"g0115";"gene_119";1978679;"g0115";"I";"-";"488.654";"490.525";"1.872";"Putative uncharacterized protein"
"120";1978680;"g0116";"gene_120";1978680;"g0116";"I";"+";"493.147";"494.244";"1.098";"Mitochondrial n-glutamine methyltransferase mtq1"
"121";1978681;"g0117";"gene_121";1978681;"g0117";"I";"-";"494.356";"497.463";"3.108";"Leucine-tRNA ligase, mitochondrial"
"122";1978682;"g0118";"gene_122";1978682;"g0118";"I";"+";"497.907";"498.829";"923";"Putative uncharacterized protein"
"123";1978683;"g0119";"gene_123";1978683;"g0119";"I";"+";"500.540";"502.567";"2.028";"Y+L amino acid transporter 2 (Solute carrier family 7 member 6)"
"124";1978684;"g0120";"gene_124";1978684;"g0120";"I";"-";"502.809";"504.102";"1.294";"Altered inheritance of mitochondria protein 32"
"125";1978685;"g0121";"gene_125";1978685;"g0121";"I";"+";"504.431";"505.981";"1.551";"Cytochrome c mitochondrial import factor CYC2 "
"126";1978686;"g0122";"gene_126";1978686;"g0122";"I";"-";"506.534";"518.647";"12.114";"Histone acetylase complex subunit"
"127";1978687;"g0123";"gene_127";1978687;"g0123";"I";"-";"520.356";"521.630";"1.275";"Putative uncharacterized protein"
"128";1978688;"g0124";"gene_128";1978688;"g0124";"I";"-";"526.710";"531.350";"4.641";"ABC transporter CDR4"
"129";1978689;"g0125";"gene_129";1978689;"g0125";"I";"-";"534.896";"537.810";"2.915";"Acetamidase regulatory protein"
"130";1978690;"g0126";"gene_130";1978690;"g0126";"I";"+";"538.284";"542.349";"3.615";"Uncharacterized ATP-dependent helicase"
"131";1978691;"g0127";"gene_131";1978691;"g0127";"I";"-";"542.992";"548.213";"5.222";"Amidohydrolase family protein"
"132";1978692;"g0128";"gene_132";1978692;"g0128";"I";"-";"548.862";"550.262";"1.401";"PI-PLC X domain-containing protein"
"133";1978693;"g0129";"gene_133";1978693;"g0129";"I";"+";"550.702";"552.186";"1.485";"Putative uncharacterized protein"
"134";1978694;"g0130";"gene_134";1978694;"g0130";"I";"-";"552.344";"553.942";"1.599";"Nucleoside transporter family"
"135";1978695;"g0131";"gene_135";1978695;"g0131";"I";"+";"556.458";"557.636";"1.179";"Putative uncharacterized protein"
"136";1978696;"g0132";"gene_136";1978696;"g0132";"I";"+";"562.772";"564.913";"2.142";"Cyclic AMP-dependent transcription factor ATF-2"
"137";1978697;"g0133";"gene_137";1978697;"g0133";"I";"+";"566.533";"568.270";"1.738";"Kinetochore protein mis13 (NMS complex subunit mis13)"
"138";1978698;"g0134";"gene_138";1978698;"g0134";"I";"-";"568.652";"569.404";"753";"Succinate dehydrogenase assembly factor 2, mitochondrial"
"139";1978699;"g0135";"gene_139";1978699;"g0135";"I";"-";"570.317";"571.080";"764";"Endoplasmic reticulum vesicle protein 25"
"140";1978700;"g0136";"gene_140";1978700;"g0136";"I";"+";"571.767";"572.738";"972";"U1 small nuclear ribonucleoprotein C (U1 snRNP C)"
"141";1978701;"g0137";"gene_141";1978701;"g0137";"I";"-";"573.694";"577.617";"3.924";"Putative uncharacterized protein"
"142";1978702;"g0138";"gene_142";1978702;"g0138";"I";"+";"587.275";"588.411";"213";"Putative uncharacterized protein"
"143";1978703;"g0139";"gene_143";1978703;"g0139";"I";"-";"589.171";"589.938";"768";"Putative uncharacterized protein"
"144";1978704;"g0140";"gene_144";1978704;"g0140";"I";"+";"594.212";"595.126";"915";"GTP-binding protein"
"145";1978705;"g0141";"gene_145";1978705;"g0141";"I";"-";"596.098";"597.219";"1.122";"Ras GTPase"
"146";1978706;"g0142";"gene_146";1978706;"g0142";"I";"-";"598.170";"599.108";"939";"Impact family protein"
"147";1978707;"g0143";"gene_147";1978707;"g0143";"I";"+";"599.500";"600.183";"684";"Disease resistance protein"
"148";1978708;"g0144";"gene_148";1978708;"g0144";"I";"-";"600.350";"602.217";"1.868";"Putative uncharacterized protein"
"149";1978709;"g0145";"gene_149";1978709;"g0145";"I";"+";"603.097";"605.435";"2.339";"Eukaryotic peptide chain release factor GTP-binding subunit (ERF-3)"
"150";1978710;"g0146";"gene_150";1978710;"g0146";"I";"-";"605.689";"606.707";"1.019";"Putative uncharacterized protein"
"151";1978711;"g0147";"gene_151";1978711;"g0147";"I";"-";"607.580";"616.245";"8.666";"Chromatin remodeling factor mit1 "
"152";1978712;"g0148";"gene_152";1978712;"g0148";"I";"+";"617.046";"619.412";"2.367";"RNA methyltransferase"
"153";1978713;"g0149";"gene_153";1978713;"g0149";"I";"+";"621.336";"623.183";"1.848";"Putative uncharacterized protein"
"154";1978714;"g0150";"gene_154";1978714;"g0150";"I";"-";"623.888";"624.352";"465";"Multiprotein-bridging factor 1"
"155";1978715;"g0151";"gene_155";1978715;"g0151";"I";"+";"625.447";"627.417";"1.971";"Putative uncharacterized protein"
"156";1978716;"g0152";"gene_156";1978716;"g0152";"I";"+";"629.730";"630.266";"537";"DUF636 domain containing protein"
"157";1978717;"g0153";"gene_157";1978717;"g0153";"I";"-";"630.943";"632.334";"1.392";"Putative uncharacterized protein"
"158";1978718;"g0154";"gene_158";1978718;"g0154";"I";"-";"633.113";"636.171";"3.059";"Class E vacuolar protein-sorting machinery protein hse-1"
"159";1978719;"g0155";"gene_159";1978719;"g0155";"I";"-";"637.980";"641.512";"3.533";"Autophagy-related protein 13"
"160";1978720;"g0156";"gene_160";1978720;"g0156";"I";"-";"645.690";"650.967";"5.278";"BTB/POZ domain-containing protein"
"161";1978721;"g0157";"gene_161";1978721;"g0157";"I";"+";"657.150";"658.754";"1.605";"Mitochondrial 2-oxodicarboxylate carrier 2"
"162";1978722;"g0158";"gene_162";1978722;"g0158";"I";"-";"659.049";"665.037";"5.989";"Transcription elongation factor SPT6 (Chromatin elongation factor SPT6)"
"163";1978723;"g0159";"gene_163";1978723;"g0159";"I";"+";"666.249";"667.865";"1.617";"COP9 signalosome complex subunit 12"
"164";1978724;"g0160";"gene_164";1978724;"g0160";"I";"-";"668.870";"670.642";"1.773";"Sun domain containing protein"
"165";1978725;"g0161";"gene_165";1978725;"g0161";"I";"-";"675.153";"676.358";"1.206";"Putative uncharacterized protein"
"166";1978726;"g0162";"gene_166";1978726;"g0162";"I";"+";"677.550";"678.932";"1.383";"Saga-like transcriptional regulatory complex subunit"
"167";1978727;"g0163";"gene_167";1978727;"g0163";"I";"-";"679.124";"681.237";"2.114";"Saga-like transcriptional regulatory complex subunit"
"168";1978728;"g0164";"gene_168";1978728;"g0164";"I";"-";"682.604";"684.262";"1.659";"Cytochrome P450 (CYP544A9)"
"169";1978729;"g0166";"gene_169";1978729;"g0166";"I";"+";"695.041";"699.474";"4.434";"Anucleate primary sterigmata protein A"
"170";1978730;"g0167";"gene_170";1978730;"g0167";"I";"+";"700.177";"701.133";"957";"OTU domain-containing protein 2"
"171";1978731;"g0168";"gene_171";1978731;"g0168";"I";"-";"701.395";"703.662";"2.268";"Putative uncharacterized protein"
"172";1978732;"g0169";"gene_172";1978732;"g0169";"I";"+";"705.026";"706.150";"1.125";"IST1 homolog (Putative MAPK-activating protein PM28)"
"173";1978733;"g0170";"gene_173";1978733;"g0170";"I";"-";"706.371";"706.887";"517";"AP-2 complex subunit sigma/Clathrin assembly protein 2 small chain"
"174";1978734;"g0171";"gene_174";1978734;"g0171";"I";"+";"708.709";"710.126";"1.418";"Endochitinase"
"175";1978735;"g0172";"gene_175";1978735;"g0172";"I";"-";"710.770";"715.456";"4.687";"ABC transporter G family member 11"
"176";1978736;"g0173";"gene_176";1978736;"g0173";"I";"-";"720.373";"721.650";"1.278";"Casein kinase II subunit beta-1 (CK II beta-1)"
"177";1978737;"g0174";"gene_177";1978737;"g0174";"I";"+";"723.274";"726.227";"2.954";"Pre-mRNA-splicing factor prp1"
"178";1978738;"g0175";"gene_178";1978738;"g0175";"I";"-";"726.485";"727.312";"475";"Putative uncharacterized protein"
"179";1978739;"g0176";"gene_179";1978739;"g0176";"I";"+";"728.861";"730.848";"1.988";"Meiotically up-regulated gene 65 protein"
"180";1978740;"g0177";"gene_180";1978740;"g0177";"I";"+";"731.451";"734.492";"3.042";"Putative uncharacterized protein"
"181";1978741;"g0178";"gene_181";1978741;"g0178";"I";"-";"735.313";"737.562";"2.250";"PP2C-domain-containing protein"
"182";1978742;"g0179";"gene_182";1978742;"g0179";"I";"-";"739.726";"741.201";"1.476";"Putative uncharacterized protein"
"183";1978743;"g0180";"gene_183";1978743;"g0180";"I";"+";"743.218";"743.790";"573";"tRNA-splicing endonuclease subunit sen15"
"184";1978744;"g0181";"gene_184";1978744;"g0181";"I";"-";"743.830";"744.962";"1.133";"Alcohol dehydrogenase"
"185";1978745;"g0182";"gene_185";1978745;"g0182";"I";"-";"745.952";"747.598";"2.565";"Transcription factor Sp1"
"186";1978746;"g0183";"gene_186";1978746;"g0183";"I";"-";"754.183";"755.283";"1.101";"Putative phosphate phosphoenolpyruvate translocator protein"
"187";1978747;"g0184";"gene_187";1978747;"g0184";"I";"-";"756.892";"758.379";"1.488";"Galactosyl transferase gma12 mnn10 family protein"
"188";1978748;"g0185";"gene_188";1978748;"g0185";"I";"+";"762.457";"762.989";"533";"Putative uncharacterized protein"
"189";1978749;"g0186";"gene_189";1978749;"g0186";"I";"-";"763.691";"764.801";"1.111";"CAAX prenyl protease 2"
"190";1978750;"g0187";"gene_190";1978750;"g0187";"I";"+";"771.334";"776.022";"4.689";"Serine-rich protein"
"191";1978751;"g0188";"gene_191";1978751;"g0188";"I";"-";"776.799";"778.855";"2.057";"Mboat family protein"
"192";1978752;"g0189";"gene_192";1978752;"g0189";"I";"-";"780.561";"781.758";"1.198";"Golgi GDP-mannose transporter"
"193";1978753;"g0190";"gene_193";1978753;"g0190";"I";"-";"783.615";"785.069";"1.455";"Short chain dehydrogenase reductase"
"194";1978754;"g0191";"gene_194";1978754;"g0191";"I";"-";"786.055";"786.895";"841";"GTP-binding protein SAR1"
"195";1978755;"g0192";"gene_195";1978755;"g0192";"I";"-";"788.316";"790.880";"2.565";"Putative uncharacterized protein"
"196";1978756;"g0193";"gene_196";1978756;"g0193";"I";"+";"799.666";"800.475";"810";"ATP synthase subunit delta, mitochondrial (F-ATPase delta subunit)"
"197";1978757;"g0194";"gene_197";1978757;"g0194";"I";"+";"801.762";"802.385";"624";"Isochorismatase family protein 1B"
"198";1978758;"g0195";"gene_198";1978758;"g0195";"I";"-";"802.605";"804.761";"2.157";"Ubiquitin carboxyl-terminal hydrolase 19"
"199";1978759;"g0196";"gene_199";1978759;"g0196";"I";"-";"806.580";"807.389";"810";"Isoamyl acetate-hydrolyzing esterase 1 homolog"
"200";1978760;"g0197";"gene_200";1978760;"g0197";"I";"+";"807.823";"808.889";"1.067";"3-oxo-5-alpha-steroid 4-dehydrogenase"
"201";1978761;"g0198";"gene_201";1978761;"g0198";"I";"-";"809.066";"810.031";"966";"Alpha-ketoglutarate-dependent dioxygenase ABH6"
"202";1978762;"g0199";"gene_202";1978762;"g0199";"I";"+";"812.811";"817.988";"5.178";"Protein HOS4"
"203";1978763;"g0200";"gene_203";1978763;"g0200";"I";"+";"819.187";"820.481";"1.295";"GTP-binding protein"
"204";1978764;"g0202";"gene_204";1978764;"g0202";"I";"+";"836.203";"838.539";"2.337";"Major centromere autoantigen B (CENP-B)"
"205";1978765;"g0203";"gene_205";1978765;"g0203";"I";"-";"840.293";"844.358";"4.066";"PXA domain protein"
"206";1978766;"g0204";"gene_206";1978766;"g0204";"I";"-";"846.144";"847.872";"1.729";"mRNA processing protein"
"207";1978767;"g0205";"gene_207";1978767;"g0205";"I";"+";"848.547";"852.620";"4.074";"Pre-mRNA-splicing factor RSE1"
"208";1978768;"g0206";"gene_208";1978768;"g0206";"I";"-";"852.930";"853.748";"819";"Putative uncharacterized protein"
"209";1978769;"g0207";"gene_209";1978769;"g0207";"I";"+";"859.677";"860.905";"1.229";"C2H2 transcription factor Ace1"
"210";1978770;"g0208";"gene_210";1978770;"g0208";"I";"-";"861.604";"863.112";"1.509";"Chitin deacetylase 1"
"211";1978771;"g0209";"gene_211";1978771;"g0209";"I";"-";"864.823";"866.185";"1.363";"Putative uncharacterized protein"
