#proteinId;gotermId;goName;gotermType;goAcc
1978580;4484;nucleosome assembly;biological_process;GO:0006334
1978582;2175;nucleic acid binding;molecular_function;GO:0003676
1978583;2420;RNA-directed RNA polymerase activity;molecular_function;GO:0003968
1978586;162;nucleotide binding;molecular_function;GO:0000166
1978586;10269;nucleoside-triphosphatase activity;molecular_function;GO:0017111
1978586;3736;ATP binding;molecular_function;GO:0005524
1978586;3838;nucleus;cellular_component;GO:0005634
1978586;3930;cytoplasm;cellular_component;GO:0005737
1978586;9985;hydrolase activity;molecular_function;GO:0016787
1978586;13056;protein catabolic process;biological_process;GO:0030163
1978589;2632;pepsin A activity;molecular_function;GO:0004194
1978589;4639;proteolysis;biological_process;GO:0006508
1978591;4650;amino acid metabolic process;biological_process;GO:0006520
1978591;13063;pyridoxal phosphate binding;molecular_function;GO:0030170
1978591;2290;catalytic activity;molecular_function;GO:0003824
1978591;5830;metabolic process;biological_process;GO:0008152
1978591;3155;threonine synthase activity;molecular_function;GO:0004795
1978591;6697;threonine biosynthetic process;biological_process;GO:0009088
1978593;2441;acid phosphatase activity;molecular_function;GO:0003993
1978594;2175;nucleic acid binding;molecular_function;GO:0003676
1978594;3827;intracellular;cellular_component;GO:0005622
1978594;5939;zinc ion binding;molecular_function;GO:0008270
1978596;4750;protein retention in ER;biological_process;GO:0006621
1978596;9321;integral to membrane;cellular_component;GO:0016021
1978596;21345;ER retention sequence binding;molecular_function;GO:0046923
1978600;2290;catalytic activity;molecular_function;GO:0003824
1978600;5830;metabolic process;biological_process;GO:0008152
1978600;16640;propanoyl-CoA C-acyltransferase activity;molecular_function;GO:0033814
1978601;2196;transcription factor activity;molecular_function;GO:0003700
1978601;3838;nucleus;cellular_component;GO:0005634
1978601;4504;regulation of transcription, DNA-dependent;biological_process;GO:0006355
1978601;5939;zinc ion binding;molecular_function;GO:0008270
1978601;2176;DNA binding;molecular_function;GO:0003677
1978601;4499;transcription;biological_process;GO:0006350
1978606;12906;metal ion transport;biological_process;GO:0030001
1978606;21295;metal ion binding;molecular_function;GO:0046872
1978610;2244;microtubule motor activity;molecular_function;GO:0003777
1978610;3736;ATP binding;molecular_function;GO:0005524
1978610;4051;microtubule associated complex;cellular_component;GO:0005875
1978610;5113;microtubule-based movement;biological_process;GO:0007018
1978612;2176;DNA binding;molecular_function;GO:0003677
1978612;2909;nuclease activity;molecular_function;GO:0004518
1978612;3727;protein binding;molecular_function;GO:0005515
1978612;3838;nucleus;cellular_component;GO:0005634
1978612;4420;DNA metabolic process;biological_process;GO:0006259
1978612;6440;crossover junction endodeoxyribonuclease activity;molecular_function;GO:0008821
1978613;3200;ubiquitin-protein ligase activity;molecular_function;GO:0004842
1978613;4643;ubiquitin cycle;biological_process;GO:0006512
1978613;5939;zinc ion binding;molecular_function;GO:0008270
1978613;24685;regulation of ubiquitin-protein ligase activity;biological_process;GO:0051438
1978613;24687;regulation of ubiquitin-protein ligase activity during meiotic cell cycle;biological_process;GO:0051440
1978613;24690;positive regulation of ubiquitin-protein ligase activity;biological_process;GO:0051443
1978613;24691;negative regulation of ubiquitin-protein ligase activity;biological_process;GO:0051444
1978614;3932;mitochondrial envelope;cellular_component;GO:0005740
1978614;4287;mitochondrial electron transport, ubiquinol to cytochrome c;biological_process;GO:0006122
1978614;5803;ubiquinol-cytochrome-c reductase activity;molecular_function;GO:0008121
1978616;19898;uridine nucleosidase activity;molecular_function;GO:0045437
1978617;19898;uridine nucleosidase activity;molecular_function;GO:0045437
1978618;4440;DNA repair;biological_process;GO:0006281
1978618;3827;intracellular;cellular_component;GO:0005622
1978618;2214;telomerase activity;molecular_function;GO:0003720
1978618;2217;RNA helicase activity;molecular_function;GO:0003724
1978618;2353;DNA-directed DNA polymerase activity;molecular_function;GO:0003887
1978618;2355;DNA primase activity;molecular_function;GO:0003896
1978618;3140;sulfate adenylyltransferase activity;molecular_function;GO:0004779
1978618;5866;RNA guanylyltransferase activity;molecular_function;GO:0008192
1978618;5867;tRNA guanylyltransferase activity;molecular_function;GO:0008193
1978618;6520;mannose-phosphate guanylyltransferase activity;molecular_function;GO:0008905
1978618;16508;DNA/RNA helicase activity;molecular_function;GO:0033677
1978618;18825;CTP:2,3-di-O-geranylgeranyl-sn-glycero-1-phosphate cytidyltransferase;molecular_function;GO:0043338
1978618;19278;phospholactate guanylyltransferase activity;molecular_function;GO:0043814
1978620;2658;metalloendopeptidase activity;molecular_function;GO:0004222
1978620;4639;proteolysis;biological_process;GO:0006508
1978620;2673;mitochondrial intermediate peptidase activity;molecular_function;GO:0004243
1978622;3708;binding;molecular_function;GO:0005488
1978622;3935;mitochondrial inner membrane;cellular_component;GO:0005743
1978622;4927;transport;biological_process;GO:0006810
1978626;2196;transcription factor activity;molecular_function;GO:0003700
1978626;3838;nucleus;cellular_component;GO:0005634
1978626;4504;regulation of transcription, DNA-dependent;biological_process;GO:0006355
1978626;5939;zinc ion binding;molecular_function;GO:0008270
1978627;2466;alcohol dehydrogenase activity;molecular_function;GO:0004022
1978627;2467;alcohol dehydrogenase activity, metal ion-independent;molecular_function;GO:0004023
1978627;2468;alcohol dehydrogenase activity, zinc-dependent;molecular_function;GO:0004024
1978627;2469;alcohol dehydrogenase activity, iron-dependent;molecular_function;GO:0004025
1978629;3145;superoxide dismutase activity;molecular_function;GO:0004784
1978633;2175;nucleic acid binding;molecular_function;GO:0003676
1978633;3827;intracellular;cellular_component;GO:0005622
1978633;5939;zinc ion binding;molecular_function;GO:0008270
1978634;2353;DNA-directed DNA polymerase activity;molecular_function;GO:0003887
1978634;16887;DNA polymerase activity;molecular_function;GO:0034061
1978638;162;nucleotide binding;molecular_function;GO:0000166
1978638;10269;nucleoside-triphosphatase activity;molecular_function;GO:0017111
1978638;2176;DNA binding;molecular_function;GO:0003677
1978638;3736;ATP binding;molecular_function;GO:0005524
1978640;9321;integral to membrane;cellular_component;GO:0016021
1978642;2175;nucleic acid binding;molecular_function;GO:0003676
1978642;3827;intracellular;cellular_component;GO:0005622
1978642;5939;zinc ion binding;molecular_function;GO:0008270
1978643;2312;2-acylglycerol O-acyltransferase activity;molecular_function;GO:0003846
1978647;2198;RNA polymerase II transcription factor activity;molecular_function;GO:0003702
1978647;3838;nucleus;cellular_component;GO:0005634
1978647;4440;DNA repair;biological_process;GO:0006281
1978647;4504;regulation of transcription, DNA-dependent;biological_process;GO:0006355
1978648;9564;CoA hydrolase activity;molecular_function;GO:0016289
1978648;9566;acyl-CoA thioesterase activity;molecular_function;GO:0016291
1978649;2196;transcription factor activity;molecular_function;GO:0003700
1978649;3838;nucleus;cellular_component;GO:0005634
1978649;4504;regulation of transcription, DNA-dependent;biological_process;GO:0006355
1978649;5939;zinc ion binding;molecular_function;GO:0008270
1978649;2176;DNA binding;molecular_function;GO:0003677
1978649;4499;transcription;biological_process;GO:0006350
1978650;2888;monooxygenase activity;molecular_function;GO:0004497
1978650;4283;electron transport;biological_process;GO:0006118
1978650;4851;aromatic compound metabolic process;biological_process;GO:0006725
1978650;5830;metabolic process;biological_process;GO:0008152
1978650;9710;oxidoreductase activity;molecular_function;GO:0016491
1978652;2196;transcription factor activity;molecular_function;GO:0003700
1978652;3838;nucleus;cellular_component;GO:0005634
1978652;4504;regulation of transcription, DNA-dependent;biological_process;GO:0006355
1978652;5939;zinc ion binding;molecular_function;GO:0008270
1978652;2176;DNA binding;molecular_function;GO:0003677
1978652;4499;transcription;biological_process;GO:0006350
1978654;5830;metabolic process;biological_process;GO:0008152
1978654;9710;oxidoreductase activity;molecular_function;GO:0016491
1978655;9320;membrane;cellular_component;GO:0016020
1978660;3737;GTP binding;molecular_function;GO:0005525
1978660;5344;small GTPase mediated signal transduction;biological_process;GO:0007264
1978660;3827;intracellular;cellular_component;GO:0005622
1978660;8400;protein transport;biological_process;GO:0015031
1978661;3043;protein kinase activity;molecular_function;GO:0004672
1978661;3736;ATP binding;molecular_function;GO:0005524
1978661;4602;protein amino acid phosphorylation;biological_process;GO:0006468
1978661;3045;protein serine/threonine kinase activity;molecular_function;GO:0004674
1978661;3052;protein kinase CK2 activity;molecular_function;GO:0004682
1978662;3736;ATP binding;molecular_function;GO:0005524
1978662;4927;transport;biological_process;GO:0006810
1978662;8976;ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism;molecular_function;GO:0015662
1978662;9320;membrane;cellular_component;GO:0016020
1978662;4929;cation transport;biological_process;GO:0006812
1978662;10015;hydrolase activity, acting on acid anhydrides, catalyzing transmembrane movement of substances;molecular_function;GO:0016820
1978662;3671;sodium:potassium-exchanging ATPase activity;molecular_function;GO:0005391
1978665;4977;amino acid transport;biological_process;GO:0006865
1978665;8535;amino acid transmembrane transporter activity;molecular_function;GO:0015171
1978665;9320;membrane;cellular_component;GO:0016020
1978665;9321;integral to membrane;cellular_component;GO:0016021
1978665;4927;transport;biological_process;GO:0006810
1978668;3708;binding;molecular_function;GO:0005488
1978670;3972;endoplasmic reticulum;cellular_component;GO:0005783
1978670;9321;integral to membrane;cellular_component;GO:0016021
1978670;9418;sterol metabolic process;biological_process;GO:0016125
1978670;22159;cholestenol delta-isomerase activity;molecular_function;GO:0047750
1978671;2176;DNA binding;molecular_function;GO:0003677
1978671;3838;nucleus;cellular_component;GO:0005634
1978671;4499;transcription;biological_process;GO:0006350
1978671;5939;zinc ion binding;molecular_function;GO:0008270
1978672;392;nuclear mRNA splicing, via spliceosome;biological_process;GO:0000398
1978672;3878;spliceosome;cellular_component;GO:0005681
1978673;171;3'-5'-exoribonuclease activity;molecular_function;GO:0000175
1978673;2216;RNA binding;molecular_function;GO:0003723
1978673;4541;RNA processing;biological_process;GO:0006396
1978674;3737;GTP binding;molecular_function;GO:0005525
1978674;3827;intracellular;cellular_component;GO:0005622
1978674;4994;intracellular protein transport;biological_process;GO:0006886
1978674;24058;hydrolase activity, acting on acid anhydrides, acting on GTP, involved in cellular and subcellular movement;molecular_function;GO:0050800
1978678;9321;integral to membrane;cellular_component;GO:0016021
1978678;9480;vesicle-mediated transport;biological_process;GO:0016192
1978678;4927;transport;biological_process;GO:0006810
1978680;2175;nucleic acid binding;molecular_function;GO:0003676
1978680;5846;methyltransferase activity;molecular_function;GO:0008168
1978680;15094;methylation;biological_process;GO:0032259
1978680;4612;protein amino acid methylation;biological_process;GO:0006479
1978680;5945;protein methyltransferase activity;molecular_function;GO:0008276
1978681;162;nucleotide binding;molecular_function;GO:0000166
1978681;3172;aminoacyl-tRNA ligase activity;molecular_function;GO:0004812
1978681;3736;ATP binding;molecular_function;GO:0005524
1978681;3930;cytoplasm;cellular_component;GO:0005737
1978681;4556;translation;biological_process;GO:0006412
1978681;4561;tRNA aminoacylation for protein translation;biological_process;GO:0006418
1978681;3183;leucine-tRNA ligase activity;molecular_function;GO:0004823
1978681;4572;leucyl-tRNA aminoacylation;biological_process;GO:0006429
1978683;4977;amino acid transport;biological_process;GO:0006865
1978683;8535;amino acid transmembrane transporter activity;molecular_function;GO:0015171
1978683;9320;membrane;cellular_component;GO:0016020
1978685;4283;electron transport;biological_process;GO:0006118
1978685;9710;oxidoreductase activity;molecular_function;GO:0016491
1978685;2566;cytochrome-b5 reductase activity;molecular_function;GO:0004128
1978686;9971;phosphotransferase activity, alcohol group as acceptor;molecular_function;GO:0016773
1978686;3708;binding;molecular_function;GO:0005488
1978688;3736;ATP binding;molecular_function;GO:0005524
1978688;10082;ATPase activity;molecular_function;GO:0016887
1978688;162;nucleotide binding;molecular_function;GO:0000166
1978688;10269;nucleoside-triphosphatase activity;molecular_function;GO:0017111
1978688;4927;transport;biological_process;GO:0006810
1978688;9321;integral to membrane;cellular_component;GO:0016021
1978688;18135;ATPase activity, coupled to transmembrane movement of substances;molecular_function;GO:0042626
1978688;8752;molybdate transmembrane-transporting ATPase activity;molecular_function;GO:0015412
1978689;2196;transcription factor activity;molecular_function;GO:0003700
1978689;3838;nucleus;cellular_component;GO:0005634
1978689;4504;regulation of transcription, DNA-dependent;biological_process;GO:0006355
1978689;5939;zinc ion binding;molecular_function;GO:0008270
1978689;2176;DNA binding;molecular_function;GO:0003677
1978689;4499;transcription;biological_process;GO:0006350
1978689;6485;galactonate dehydratase activity;molecular_function;GO:0008869
1978690;2176;DNA binding;molecular_function;GO:0003677
1978690;3736;ATP binding;molecular_function;GO:0005524
1978690;2175;nucleic acid binding;molecular_function;GO:0003676
1978690;2792;helicase activity;molecular_function;GO:0004386
1978691;2290;catalytic activity;molecular_function;GO:0003824
1978691;5830;metabolic process;biological_process;GO:0008152
1978691;23296;L-rhamnono-1,4-lactonase activity;molecular_function;GO:0050033
1978694;8565;nucleobase transmembrane transporter activity;molecular_function;GO:0015205
1978694;9237;nucleobase, nucleoside, nucleotide and nucleic acid transport;biological_process;GO:0015931
1978694;9320;membrane;cellular_component;GO:0016020
1978696;2176;DNA binding;molecular_function;GO:0003677
1978696;3838;nucleus;cellular_component;GO:0005634
1978696;2196;transcription factor activity;molecular_function;GO:0003700
1978696;4504;regulation of transcription, DNA-dependent;biological_process;GO:0006355
1978696;19030;sequence-specific DNA binding;molecular_function;GO:0043565
1978696;21401;protein dimerization activity;molecular_function;GO:0046983
1978700;2175;nucleic acid binding;molecular_function;GO:0003676
1978700;3838;nucleus;cellular_component;GO:0005634
1978700;5939;zinc ion binding;molecular_function;GO:0008270
1978703;2290;catalytic activity;molecular_function;GO:0003824
1978705;3737;GTP binding;molecular_function;GO:0005525
1978705;5344;small GTPase mediated signal transduction;biological_process;GO:0007264
1978705;8400;protein transport;biological_process;GO:0015031
1978705;3827;intracellular;cellular_component;GO:0005622
1978709;2378;GTPase activity;molecular_function;GO:0003924
1978709;3737;GTP binding;molecular_function;GO:0005525
1978709;2230;translation release factor activity;molecular_function;GO:0003747
1978709;4559;translational termination;biological_process;GO:0006415
1978710;3930;cytoplasm;cellular_component;GO:0005737
1978710;4758;lipid metabolic process;biological_process;GO:0006629
1978710;9321;integral to membrane;cellular_component;GO:0016021
1978710;9834;oxidoreductase activity, acting on the CH-CH group of donors;molecular_function;GO:0016627
1978711;2176;DNA binding;molecular_function;GO:0003677
1978711;3736;ATP binding;molecular_function;GO:0005524
1978711;2175;nucleic acid binding;molecular_function;GO:0003676
1978711;2792;helicase activity;molecular_function;GO:0004386
1978711;3727;protein binding;molecular_function;GO:0005515
1978711;5939;zinc ion binding;molecular_function;GO:0008270
1978711;3838;nucleus;cellular_component;GO:0005634
1978712;2216;RNA binding;molecular_function;GO:0003723
1978712;4541;RNA processing;biological_process;GO:0006396
1978712;5851;RNA methyltransferase activity;molecular_function;GO:0008173
1978712;175;rRNA (adenine-N6,N6-)-dimethyltransferase activity;molecular_function;GO:0000179
1978712;2346;C-terminal protein carboxyl methyltransferase activity;molecular_function;GO:0003880
1978712;5847;C-methyltransferase activity;molecular_function;GO:0008169
1978712;5848;N-methyltransferase activity;molecular_function;GO:0008170
1978712;5849;O-methyltransferase activity;molecular_function;GO:0008171
1978712;5850;S-methyltransferase activity;molecular_function;GO:0008172
1978712;5852;mRNA methyltransferase activity;molecular_function;GO:0008174
1978712;5853;tRNA methyltransferase activity;molecular_function;GO:0008175
1978712;5945;protein methyltransferase activity;molecular_function;GO:0008276
1978712;5992;site-specific DNA-methyltransferase (cytosine-specific) activity;molecular_function;GO:0008326
1978712;6085;2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity;molecular_function;GO:0008425
1978712;6281;rRNA methyltransferase activity;molecular_function;GO:0008649
1978712;6282;rRNA (uridine-2'-O-)-methyltransferase activity;molecular_function;GO:0008650
1978712;6619;DNA-methyltransferase activity;molecular_function;GO:0009008
1978712;6977;rRNA (cytosine-C5-967)-methyltransferase activity;molecular_function;GO:0009383
1978712;9489;selenocysteine methyltransferase activity;molecular_function;GO:0016205
1978712;9552;arginine N-methyltransferase activity;molecular_function;GO:0016273
1978712;9553;protein-arginine N-methyltransferase activity;molecular_function;GO:0016274
1978712;9556;lysine N-methyltransferase activity;molecular_function;GO:0016278
1978712;9557;protein-lysine N-methyltransferase activity;molecular_function;GO:0016279
1978712;9572;tRNA (uracil) methyltransferase activity;molecular_function;GO:0016300
1978712;9652;tRNA (guanine) methyltransferase activity;molecular_function;GO:0016423
1978712;9653;tRNA (guanosine) methyltransferase activity;molecular_function;GO:0016424
1978712;9654;tRNA (adenine)-methyltransferase activity;molecular_function;GO:0016426
1978712;9655;tRNA (cytosine)-methyltransferase activity;molecular_function;GO:0016427
1978712;9659;tRNA (uridine) methyltransferase activity;molecular_function;GO:0016431
1978712;9661;rRNA (adenine) methyltransferase activity;molecular_function;GO:0016433
1978712;9662;rRNA (cytosine) methyltransferase activity;molecular_function;GO:0016434
1978712;9663;rRNA (guanine) methyltransferase activity;molecular_function;GO:0016435
1978712;9664;rRNA (uridine) methyltransferase activity;molecular_function;GO:0016436
1978712;10743;protein-leucine O-methyltransferase activity;molecular_function;GO:0018423
1978712;11011;1-phenanthrol methyltransferase activity;molecular_function;GO:0018707
1978712;11960;protein-arginine N5-methyltransferase activity;molecular_function;GO:0019702
1978712;13642;methylarsonite methyltransferase activity;molecular_function;GO:0030792
1978712;19234;demethylmenaquinone methyltransferase activity;molecular_function;GO:0043770
1978712;19240;cobalt-precorrin-6B C5-methyltransferase activity;molecular_function;GO:0043776
1978712;19241;cobalt-precorrin-7 C15-methyltransferase activity;molecular_function;GO:0043777
1978712;19244;cobalt-precorrin-5B C1-methyltransferase activity;molecular_function;GO:0043780
1978712;19246;cobalt-precorrin-3 C17-methyltransferase activity;molecular_function;GO:0043782
1978712;19254;dimethyladenosine transferase activity;molecular_function;GO:0043790
1978712;19255;dimethylamine methyltransferase activity;molecular_function;GO:0043791
1978712;19267;hydroxyneurosporene-O-methyltransferase activity;molecular_function;GO:0043803
1978712;19291;tRNA (adenine-57, 58-N(1)-) methyltransferase activity;molecular_function;GO:0043827
1978712;19297;methylamine-specific methylcobalamin:coenzyme M methyltransferase activity;molecular_function;GO:0043833
1978712;19298;trimethylamine methyltransferase activity;molecular_function;GO:0043834
1978712;19315;methanol-specific methylcobalamin:coenzyme M methyltransferase activity;molecular_function;GO:0043851
1978712;19316;monomethylamine methyltransferase activity;molecular_function;GO:0043852
1978714;19030;sequence-specific DNA binding;molecular_function;GO:0043565
1978714;2176;DNA binding;molecular_function;GO:0003677
1978716;5830;metabolic process;biological_process;GO:0008152
1978716;10041;carbon-sulfur lyase activity;molecular_function;GO:0016846
1978718;4994;intracellular protein transport;biological_process;GO:0006886
1978720;3727;protein binding;molecular_function;GO:0005515
1978721;3708;binding;molecular_function;GO:0005488
1978721;3935;mitochondrial inner membrane;cellular_component;GO:0005743
1978721;4927;transport;biological_process;GO:0006810
1978721;2824;inorganic diphosphatase activity;molecular_function;GO:0004427
1978722;3727;protein binding;molecular_function;GO:0005515
1978722;2216;RNA binding;molecular_function;GO:0003723
1978722;2175;nucleic acid binding;molecular_function;GO:0003676
1978727;2198;RNA polymerase II transcription factor activity;molecular_function;GO:0003702
1978727;3866;transcription factor complex;cellular_component;GO:0005667
1978727;4501;transcription initiation;biological_process;GO:0006352
1978727;2176;DNA binding;molecular_function;GO:0003677
1978728;2888;monooxygenase activity;molecular_function;GO:0004497
1978728;3721;iron ion binding;molecular_function;GO:0005506
1978728;4283;electron transport;biological_process;GO:0006118
1978728;12251;heme binding;molecular_function;GO:0020037
1978728;10891;fluorene oxygenase activity;molecular_function;GO:0018585
1978728;10892;mono-butyltin dioxygenase activity;molecular_function;GO:0018586
1978728;10893;limonene 8-monooxygenase activity;molecular_function;GO:0018587
1978728;10894;tri-n-butyltin dioxygenase activity;molecular_function;GO:0018588
1978728;10895;di-n-butyltin dioxygenase activity;molecular_function;GO:0018589
1978728;10896;methylsilanetriol hydroxylase activity;molecular_function;GO:0018590
1978728;10897;methyl tertiary butyl ether 3-monooxygenase activity;molecular_function;GO:0018591
1978728;10898;4-nitrocatechol 4-monooxygenase activity;molecular_function;GO:0018592
1978728;10899;4-chlorophenoxyacetate monooxygenase activity;molecular_function;GO:0018593
1978728;10900;tert-butyl alcohol 2-monooxygenase activity;molecular_function;GO:0018594
1978728;10901;alpha-pinene monooxygenase activity;molecular_function;GO:0018595
1978728;10902;dimethylsilanediol hydroxylase activity;molecular_function;GO:0018596
1978728;10903;ammonia monooxygenase activity;molecular_function;GO:0018597
1978728;10904;hydroxymethylsilanetriol oxidase activity;molecular_function;GO:0018598
1978728;10905;2-hydroxyisobutyrate 3-monooxygenase activity;molecular_function;GO:0018599
1978728;10906;alpha-pinene dehydrogenase activity;molecular_function;GO:0018600
1978728;19287;spheroidene monooxygenase activity;molecular_function;GO:0043823
1978733;4927;transport;biological_process;GO:0006810
1978734;2933;hydrolase activity, hydrolyzing O-glycosyl compounds;molecular_function;GO:0004553
1978734;4143;carbohydrate metabolic process;biological_process;GO:0005975
1978734;2946;chitinase activity;molecular_function;GO:0004568
1978734;4200;chitin catabolic process;biological_process;GO:0006032
1978734;6462;endochitinase activity;molecular_function;GO:0008843
1978735;3736;ATP binding;molecular_function;GO:0005524
1978735;10082;ATPase activity;molecular_function;GO:0016887
1978735;162;nucleotide binding;molecular_function;GO:0000166
1978735;10269;nucleoside-triphosphatase activity;molecular_function;GO:0017111
1978735;4927;transport;biological_process;GO:0006810
1978735;9321;integral to membrane;cellular_component;GO:0016021
1978735;18135;ATPase activity, coupled to transmembrane movement of substances;molecular_function;GO:0042626
1978735;8752;molybdate transmembrane-transporting ATPase activity;molecular_function;GO:0015412
1978736;4127;protein kinase CK2 complex;cellular_component;GO:0005956
1978736;6244;protein kinase CK2 regulator activity;molecular_function;GO:0008605
1978737;3827;intracellular;cellular_component;GO:0005622
1978737;4541;RNA processing;biological_process;GO:0006396
1978737;392;nuclear mRNA splicing, via spliceosome;biological_process;GO:0000398
1978737;3838;nucleus;cellular_component;GO:0005634
1978741;3088;protein serine/threonine phosphatase activity;molecular_function;GO:0004722
1978741;4604;protein amino acid dephosphorylation;biological_process;GO:0006470
1978741;5955;protein serine/threonine phosphatase complex;cellular_component;GO:0008287
1978741;2290;catalytic activity;molecular_function;GO:0003824
1978741;3087;phosphoprotein phosphatase activity;molecular_function;GO:0004721
1978741;3089;calcium-dependent protein serine/threonine phosphatase activity;molecular_function;GO:0004723
1978741;3090;magnesium-dependent protein serine/threonine phosphatase activity;molecular_function;GO:0004724
1978741;4132;magnesium-dependent protein serine/threonine phosphatase complex;cellular_component;GO:0005963
1978741;6080;CTD phosphatase activity;molecular_function;GO:0008420
1978741;6240;calcium-dependent protein serine/threonine phosphatase regulator activity;molecular_function;GO:0008597
1978741;10186;myosin phosphatase activity;molecular_function;GO:0017018
1978741;10187;myosin phosphatase regulator activity;molecular_function;GO:0017020
1978741;10190;myosin phosphatase complex;cellular_component;GO:0017023
1978743;210;tRNA-intron endonuclease activity;molecular_function;GO:0000213
1978743;211;tRNA-intron endonuclease complex;cellular_component;GO:0000214
1978743;4535;tRNA splicing;biological_process;GO:0006388
1978744;5939;zinc ion binding;molecular_function;GO:0008270
1978744;9710;oxidoreductase activity;molecular_function;GO:0016491
1978744;247;C-3 sterol dehydrogenase (C-4 sterol decarboxylase) activity;molecular_function;GO:0000252
1978744;248;3-keto sterol reductase activity;molecular_function;GO:0000253
1978744;2477;aldo-keto reductase activity;molecular_function;GO:0004033
1978744;2842;isocitrate dehydrogenase activity;molecular_function;GO:0004448
1978744;2886;mevaldate reductase activity;molecular_function;GO:0004495
1978744;6491;gluconate dehydrogenase activity;molecular_function;GO:0008875
1978744;9508;steroid dehydrogenase activity;molecular_function;GO:0016229
1978744;10761;epoxide dehydrogenase activity;molecular_function;GO:0018451
1978744;10762;5-exo-hydroxycamphor dehydrogenase activity;molecular_function;GO:0018452
1978744;10763;2-hydroxytetrahydrofuran dehydrogenase activity;molecular_function;GO:0018453
1978744;15277;phenylcoumaran benzylic ether reductase activity;molecular_function;GO:0032442
1978744;16590;steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor;molecular_function;GO:0033764
1978744;16591;steroid dehydrogenase activity, acting on the CH-CH group of donors;molecular_function;GO:0033765
1978744;19178;(R)-2-hydroxyisocaproate dehydrogenase activity;molecular_function;GO:0043713
1978744;22621;3-ketoglucose-reductase activity;molecular_function;GO:0048258
1978744;25233;(R)-2-hydroxyglutarate dehydrogenase activity;molecular_function;GO:0051990
1978745;2175;nucleic acid binding;molecular_function;GO:0003676
1978745;3827;intracellular;cellular_component;GO:0005622
1978745;5939;zinc ion binding;molecular_function;GO:0008270
1978747;9321;integral to membrane;cellular_component;GO:0016021
1978747;9957;transferase activity, transferring hexosyl groups;molecular_function;GO:0016758
1978749;2635;cysteine-type endopeptidase activity;molecular_function;GO:0004197
1978752;3633;nucleotide-sugar transmembrane transporter activity;molecular_function;GO:0005338
1978752;9092;nucleotide-sugar transport;biological_process;GO:0015780
1978752;9321;integral to membrane;cellular_component;GO:0016021
1978753;5830;metabolic process;biological_process;GO:0008152
1978753;9710;oxidoreductase activity;molecular_function;GO:0016491
1978753;2710;estradiol 17-beta-dehydrogenase activity;molecular_function;GO:0004303
1978754;3737;GTP binding;molecular_function;GO:0005525
1978754;3827;intracellular;cellular_component;GO:0005622
1978754;4994;intracellular protein transport;biological_process;GO:0006886
1978754;24058;hydrolase activity, acting on acid anhydrides, acting on GTP, involved in cellular and subcellular movement;molecular_function;GO:0050800
